cod6,cod7,nome,idhm,idhm_renda,idhm_longevidade,idhm_educacao,renda_per_capita,gini,pct_pobres,pct_extrema_pobreza,esperanca_vida,pct_analfabetismo_18mais
430495,4304952,CASEIROS,0.703,0.696,0.833,0.600,606.99,0.47,11.95,6.14,74.99,10.79
430500,4305009,CATUÍPE,0.739,0.763,0.842,0.627,920.96,0.56,6.14,2.23,75.52,6.35
430510,4305108,CAXIAS DO SUL,0.782,0.812,0.860,0.686,1253.93,0.48,1.72,0.36,76.58,2.44
430511,4305116,CENTENÁRIO,0.701,0.707,0.856,0.569,651.77,0.46,8.50,5.20,76.36,4.32
430512,4305124,CERRITO,0.649,0.657,0.824,0.504,476.66,0.48,20.28,6.18,74.41,12.81
430513,4305132,CERRO BRANCO,0.661,0.671,0.816,0.527,519.95,0.41,11.66,3.02,73.93,13.86
430515,4305157,CERRO GRANDE,0.674,0.676,0.803,0.563,538.45,0.49,14.25,4.85,73.19,15.06
430517,4305173,CERRO GRANDE DO SUL,0.660,0.673,0.855,0.499,527.88,0.50,17.24,5.13,76.28,10.51
430520,4305207,CERRO LARGO,0.764,0.752,0.849,0.698,862.05,0.47,2.85,0.37,75.91,4.67
430530,4305306,CHAPADA,0.757,0.752,0.849,0.679,860.15,0.46,3.47,1.34,75.95,4.48
430535,4305355,CHARQUEADAS,0.747,0.726,0.870,0.659,734.59,0.43,4.56,1.63,77.22,4.88
430537,4305371,CHARRUA,0.620,0.699,0.885,0.385,618.89,0.51,20.85,4.87,78.12,14.10
430540,4305405,CHIAPETTA,0.732,0.702,0.850,0.657,632.18,0.49,13.15,4.54,75.98,6.68
430543,4305439,CHUÍ,0.706,0.676,0.792,0.658,535.86,0.48,14.50,4.05,72.52,1.97
430544,4305447,CHUVISCA,0.616,0.655,0.818,0.437,471.66,0.46,20.13,6.14,74.10,10.24
430545,4305454,CIDREIRA,0.729,0.730,0.848,0.625,750.55,0.49,7.42,3.17,75.89,3.80
430550,4305504,CIRÍACO,0.719,0.724,0.855,0.600,725.12,0.45,6.08,1.45,76.31,7.57
430558,4305587,COLINAS,0.765,0.786,0.840,0.678,1066.39,0.47,2.20,0.08,75.38,3.07
430560,4305603,COLORADO,0.758,0.775,0.835,0.674,996.93,0.51,4.38,2.00,75.07,4.60
430570,4305702,CONDOR,0.747,0.735,0.852,0.666,777.62,0.49,7.68,2.65,76.10,5.76
430580,4305801,CONSTANTINA,0.754,0.726,0.885,0.668,732.39,0.45,10.09,3.01,78.12,8.76
430583,4305835,COQUEIRO BAIXO,0.692,0.703,0.886,0.532,634.31,0.41,9.34,4.22,78.14,7.38
430585,4305850,COQUEIROS DO SUL,0.746,0.806,0.840,0.614,1208.56,0.53,4.11,1.33,75.42,5.31
430587,4305871,CORONEL BARROS,0.744,0.793,0.852,0.610,1112.14,0.53,3.59,0.19,76.11,3.22
430590,4305900,CORONEL BICACO,0.665,0.667,0.803,0.550,509.04,0.51,19.56,8.72,73.19,12.13
430593,4305934,CORONEL PILAR,0.727,0.766,0.835,0.600,942.36,0.36,1.30,0.48,75.07,4.19
430595,4305959,COTIPORÃ,0.741,0.767,0.835,0.636,943.48,0.39,0.37,0.10,75.07,4.76
430597,4305975,COXILHA,0.706,0.693,0.866,0.586,596.90,0.49,11.86,6.17,76.93,7.23
430600,4306007,CRISSIUMAL,0.712,0.702,0.835,0.616,630.54,0.41,7.24,2.84,75.11,5.07
430605,4306056,CRISTAL,0.644,0.687,0.826,0.471,575.45,0.45,11.74,2.99,74.57,10.09
430607,4306072,CRISTAL DO SUL,0.660,0.641,0.826,0.542,430.67,0.45,17.74,7.06,74.56,13.06
430610,4306106,CRUZ ALTA,0.750,0.754,0.858,0.653,871.81,0.53,7.02,2.76,76.49,4.72
430613,4306130,CRUZALTENSE,0.719,0.724,0.849,0.605,723.18,0.45,9.38,6.23,75.92,7.26
430620,4306205,CRUZEIRO DO SUL,0.723,0.746,0.833,0.607,832.23,0.41,1.82,0.42,74.98,4.01
430630,4306304,DAVID CANABARRO,0.762,0.740,0.870,0.688,798.91,0.44,2.60,0.00,77.20,7.86
430632,4306320,DERRUBADAS,0.707,0.664,0.846,0.628,497.31,0.55,24.87,17.64,75.74,10.50
430635,4306353,DEZESSEIS DE NOVEMBRO,0.654,0.625,0.809,0.553,391.30,0.48,27.90,11.96,73.55,13.17
430637,4306379,DILERMANDO DE AGUIAR,0.648,0.681,0.864,0.463,553.74,0.58,22.19,8.02,76.85,14.60
430640,4306403,DOIS IRMÃOS,0.743,0.763,0.848,0.633,921.37,0.38,0.52,0.00,75.87,2.14
430642,4306429,DOIS IRMÃOS DAS MISSÕES,0.670,0.646,0.797,0.585,446.59,0.50,26.64,13.22,72.81,13.20
430645,4306452,DOIS LAJEADOS,0.757,0.775,0.837,0.670,992.68,0.34,0.31,0.00,75.19,5.40
430650,4306502,DOM FELICIANO,0.587,0.633,0.818,0.390,409.72,0.48,22.12,9.99,74.10,13.05
430655,4306551,DOM PEDRO DE ALCÂNTARA,0.691,0.697,0.820,0.577,611.05,0.43,7.75,1.50,74.21,5.82
430660,4306601,DOM PEDRITO,0.708,0.715,0.848,0.585,686.15,0.54,11.38,2.26,75.88,6.22
430670,4306700,DONA FRANCISCA,0.697,0.718,0.831,0.568,698.57,0.46,8.83,1.60,74.84,7.68
430673,4306734,DOUTOR MAURÍCIO CARDOSO,0.706,0.707,0.840,0.593,652.63,0.47,10.68,3.80,75.41,6.62
430675,4306759,DOUTOR RICARDO,0.724,0.749,0.855,0.593,843.35,0.38,3.37,0.41,76.30,7.67
430676,4306767,ELDORADO DO SUL,0.717,0.717,0.844,0.609,692.00,0.46,6.99,2.29,75.66,4.44
430680,4306809,ENCANTADO,0.767,0.764,0.858,0.687,931.47,0.42,2.21,0.49,76.50,3.39
430690,4306908,ENCRUZILHADA DO SUL,0.657,0.677,0.875,0.478,539.00,0.52,16.24,6.75,77.50,11.46
430692,4306924,ENGENHO VELHO,0.717,0.735,0.821,0.611,775.44,0.55,21.37,16.45,74.23,11.45
430693,4306932,ENTRE-IJUÍS,0.680,0.692,0.829,0.548,594.67,0.47,13.51,3.87,74.74,6.48
430695,4306957,ENTRE RIOS DO SUL,0.703,0.709,0.857,0.572,657.86,0.45,10.32,3.53,76.40,9.64
430697,4306973,EREBANGO,0.712,0.689,0.837,0.626,583.76,0.47,10.02,5.29,75.24,7.29
430700,4307005,ERECHIM,0.776,0.782,0.833,0.716,1038.39,0.48,3.29,1.08,74.95,3.42
430705,4307054,ERNESTINA,0.716,0.703,0.854,0.612,634.28,0.43,6.24,1.40,76.25,6.55
430710,4307104,HERVAL,0.687,0.730,0.843,0.527,752.24,0.68,20.49,10.07,75.59,7.95
430720,4307203,ERVAL GRANDE,0.681,0.713,0.885,0.501,677.58,0.50,10.37,2.00,78.12,12.62
430730,4307302,ERVAL SECO,0.685,0.666,0.821,0.589,505.57,0.52,21.46,10.00,74.28,12.53
430740,4307401,ESMERALDA,0.680,0.669,0.827,0.569,514.34,0.45,12.73,4.12,74.64,8.69
430745,4307450,ESPERANÇA DO SUL,0.661,0.665,0.788,0.550,502.89,0.43,16.09,9.25,72.25,10.63
430750,4307500,ESPUMOSO,0.765,0.747,0.884,0.677,834.66,0.49,5.14,1.90,78.04,7.94
430755,4307559,ESTAÇÃO,0.753,0.752,0.843,0.674,862.69,0.46,1.78,0.96,75.55,3.58
430760,4307609,ESTÂNCIA VELHA,0.757,0.749,0.887,0.652,848.45,0.42,2.21,0.70,78.23,2.77
430770,4307708,ESTEIO,0.754,0.769,0.843,0.662,955.86,0.48,4.53,1.32,75.57,2.77
430780,4307807,ESTRELA,0.767,0.776,0.850,0.684,1002.78,0.42,1.23,0.00,75.97,2.55
430781,4307815,ESTRELA VELHA,0.679,0.707,0.792,0.560,650.28,0.49,12.96,6.42,72.50,9.62
430783,4307831,EUGÊNIO DE CASTRO,0.712,0.697,0.885,0.584,613.50,0.50,12.26,3.56,78.11,6.85
430786,4307864,FAGUNDES VARELA,0.763,0.773,0.852,0.674,981.99,0.35,0.63,0.42,76.14,4.21
430790,4307906,FARROUPILHA,0.777,0.783,0.861,0.696,1045.05,0.43,1.37,0.45,76.68,2.70
430800,4308003,FAXINAL DO SOTURNO,0.720,0.732,0.854,0.597,760.86,0.47,6.92,1.71,76.21,5.43
430805,4308052,FAXINALZINHO,0.666,0.646,0.801,0.571,445.67,0.43,17.32,9.85,73.03,10.18
430807,4308078,FAZENDA VILANOVA,0.698,0.726,0.841,0.557,734.82,0.44,2.45,1.56,75.45,6.37
430810,4308102,FELIZ,0.750,0.758,0.847,0.658,897.05,0.37,0.50,0.00,75.80,0.97
430820,4308201,FLORES DA CUNHA,0.754,0.786,0.849,0.642,1062.06,0.44,1.12,0.48,75.95,3.30
430825,4308250,FLORIANO PEIXOTO,0.663,0.701,0.854,0.486,626.67,0.44,11.16,5.25,76.23,4.61
430830,4308300,FONTOURA XAVIER,0.661,0.668,0.812,0.532,511.46,0.53,20.19,10.84,73.69,18.83
430840,4308409,FORMIGUEIRO,0.682,0.690,0.838,0.549,586.75,0.51,15.55,4.49,75.30,11.92
430843,4308433,FORQUETINHA,0.683,0.743,0.886,0.484,812.72,0.38,4.78,1.04,78.13,6.93
430845,4308458,FORTALEZA DOS VALOS,0.756,0.779,0.837,0.663,1021.84,0.62,6.50,2.31,75.23,6.74
430850,4308508,FREDERICO WESTPHALEN,0.760,0.754,0.846,0.688,875.03,0.47,4.98,1.64,75.76,5.08
430860,4308607,GARIBALDI,0.786,0.825,0.856,0.688,1355.37,0.51,1.04,0.06,76.35,2.75
430865,4308656,GARRUCHOS,0.671,0.657,0.833,0.553,476.17,0.52,19.53,9.28,74.96,13.02
430870,4308706,GAURAMA,0.738,0.733,0.852,0.643,765.58,0.43,5.74,0.80,76.09,4.24
430880,4308805,GENERAL CÂMARA,0.686,0.704,0.832,0.552,640.45,0.49,11.25,2.65,74.92,10.12
430885,4308854,GENTIL,0.733,0.710,0.863,0.643,662.04,0.43,8.20,2.50,76.76,8.02
430890,4308904,GETÚLIO VARGAS,0.746,0.747,0.843,0.658,837.17,0.45,3.68,1.20,75.55,4.31
430900,4309001,GIRUÁ,0.721,0.707,0.842,0.629,653.18,0.53,11.44,3.36,75.52,7.09
430905,4309050,GLORINHA,0.714,0.716,0.859,0.593,686.99,0.41,4.97,1.46,76.54,8.46
430910,4309100,GRAMADO,0.764,0.783,0.861,0.662,1045.52,0.48,2.18,0.32,76.64,2.96
430912,4309126,GRAMADO DOS LOUREIROS,0.685,0.662,0.832,0.584,491.10,0.50,22.49,9.22,74.91,13.96
430915,4309159,GRAMADO XAVIER,0.634,0.681,0.792,0.473,552.44,0.54,21.60,12.65,72.50,10.60
430920,4309209,GRAVATAÍ,0.736,0.727,0.862,0.636,737.29,0.44,5.39,1.54,76.74,3.35
430925,4309258,GUABIJU,0.758,0.831,0.857,0.612,1408.71,0.55,1.81,0.30,76.40,4.77
430930,4309308,GUAÍBA,0.730,0.732,0.833,0.639,758.83,0.47,6.44,1.49,74.99,4.05
430940,4309407,GUAPORÉ,0.765,0.781,0.837,0.685,1035.41,0.42,0.86,0.27,75.22,3.93
430950,4309506,GUARANI DAS MISSÕES,0.737,0.698,0.863,0.665,615.87,0.42,6.49,3.09,76.75,5.10
430955,4309555,HARMONIA,0.749,0.748,0.841,0.668,840.55,0.36,1.89,0.54,75.47,2.22
430957,4309571,HERVEIRAS,0.616,0.670,0.792,0.441,516.11,0.41,12.94,5.29,72.50,10.74
430960,4309605,HORIZONTINA,0.783,0.782,0.858,0.716,1037.04,0.49,2.47,0.58,76.47,3.03
430965,4309654,HULHA NEGRA,0.643,0.653,0.796,0.512,465.17,0.54,24.94,15.51,72.75,9.39
430970,4309704,HUMAITÁ,0.738,0.732,0.837,0.657,759.99,0.42,3.47,0.53,75.21,3.73
430975,4309753,IBARAMA,0.652,0.686,0.792,0.511,572.60,0.43,13.26,4.72,72.50,7.19
430980,4309803,IBIAÇÁ,0.739,0.766,0.888,0.593,940.93,0.43,2.05,0.51,78.28,7.05
430990,4309902,IBIRAIARAS,0.724,0.739,0.835,0.615,795.00,0.44,4.41,1.44,75.09,6.32
430995,4309951,IBIRAPUITÃ,0.638,0.678,0.828,0.463,544.81,0.52,16.54,3.74,74.66,10.64
431000,4310009,IBIRUBÁ,0.765,0.786,0.848,0.671,1062.30,0.49,3.09,1.04,75.88,3.60
431010,4310108,IGREJINHA,0.721,0.749,0.876,0.571,848.23,0.44,2.42,0.61,77.53,3.73
431020,4310207,IJUÍ,0.781,0.786,0.858,0.707,1066.65,0.57,5.95,2.34,76.48,4.38
431030,4310306,ILÓPOLIS,0.730,0.756,0.866,0.595,884.57,0.48,5.43,1.71,76.94,7.09
431033,4310330,IMBÉ,0.764,0.825,0.847,0.638,1359.66,0.68,5.75,1.25,75.82,3.12
431036,4310363,IMIGRANTE,0.743,0.764,0.844,0.635,928.00,0.35,1.68,0.00,75.61,1.37
431040,4310405,INDEPENDÊNCIA,0.693,0.711,0.813,0.576,665.99,0.48,11.94,4.53,73.80,8.33
431041,4310413,INHACORÁ,0.673,0.647,0.807,0.585,448.48,0.43,14.15,4.77,73.43,11.23
431043,4310439,IPÊ,0.728,0.751,0.831,0.618,856.32,0.45,2.92,1.05,74.88,6.62
431046,4310462,IPIRANGA DO SUL,0.791,0.818,0.866,0.698,1301.23,0.48,2.05,0.60,76.94,3.33
431050,4310504,IRAÍ,0.691,0.684,0.819,0.590,564.49,0.54,20.23,10.30,74.12,10.03
431053,4310538,ITAARA,0.760,0.761,0.841,0.687,913.96,0.61,7.21,1.92,75.46,6.08
431055,4310553,ITACURUBI,0.657,0.692,0.804,0.509,593.23,0.61,20.08,6.51,73.25,8.89
431057,4310579,ITAPUCA,0.664,0.709,0.834,0.495,660.33,0.40,5.73,0.60,75.02,9.85
431060,4310603,ITAQUI,0.713,0.687,0.843,0.626,576.71,0.51,11.59,3.55,75.60,6.58
431065,4310652,ITATI,0.669,0.692,0.827,0.524,592.80,0.47,15.13,4.14,74.61,13.67
431070,4310702,ITATIBA DO SUL,0.681,0.696,0.801,0.567,607.67,0.49,13.92,5.36,73.03,12.15
431075,4310751,IVORÁ,0.724,0.712,0.886,0.602,670.27,0.44,7.13,2.40,78.13,5.17
431080,4310801,IVOTI,0.784,0.780,0.848,0.729,1025.02,0.44,0.95,0.10,75.88,1.96
431085,4310850,JABOTICABA,0.658,0.636,0.820,0.547,419.41,0.53,28.10,18.10,74.20,12.92
431087,4310876,JACUIZINHO,0.662,0.730,0.817,0.487,750.68,0.72,28.01,19.56,73.99,12.76
431090,4310900,JACUTINGA,0.726,0.703,0.855,0.636,636.24,0.39,6.07,0.92,76.30,6.72
431100,4311007,JAGUARÃO,0.707,0.698,0.832,0.608,616.82,0.49,10.63,2.75,74.89,6.93
431110,4311106,JAGUARI,0.712,0.734,0.866,0.567,772.25,0.51,8.86,3.82,76.93,6.12
431112,4311122,JAQUIRANA,0.614,0.626,0.779,0.475,392.53,0.43,19.38,5.66,71.73,11.76
431113,4311130,JARI,0.631,0.636,0.836,0.473,418.18,0.56,26.54,16.16,75.14,8.15
431115,4311155,JÓIA,0.686,0.671,0.841,0.572,521.70,0.53,18.88,11.86,75.48,6.68
431120,4311205,JÚLIO DE CASTILHOS,0.716,0.733,0.833,0.602,765.91,0.59,12.13,4.18,74.96,6.00
431123,4311239,LAGOA BONITA DO SUL,0.670,0.696,0.801,0.539,608.88,0.43,8.94,3.94,73.05,11.26
431125,4311254,LAGOÃO,0.643,0.641,0.822,0.505,432.78,0.43,16.01,6.72,74.34,21.71
431127,4311270,LAGOA DOS TRÊS CANTOS,0.789,0.765,0.852,0.754,933.60,0.43,3.78,0.67,76.14,2.31
431130,4311304,LAGOA VERMELHA,0.738,0.734,0.885,0.620,771.47,0.50,7.19,1.24,78.10,7.81
431140,4311403,LAJEADO,0.778,0.796,0.840,0.704,1130.85,0.46,1.96,0.38,75.41,2.80
431142,4311429,LAJEADO DO BUGRE,0.613,0.604,0.822,0.465,343.10,0.49,32.58,16.13,74.33,19.72
431150,4311502,LAVRAS DO SUL,0.699,0.683,0.868,0.577,559.67,0.50,11.80,4.08,77.05,9.81
